survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
ABC/Post,None,2015-11-16,2015-11-19,Live Phone,,Adults,1003,46,50,4,3.5
FOX,None,2015-11-16,2015-11-19,Live Phone,,Registered Voters,1016,40,54,6,3
FOX,None,2015-11-16,2015-11-19,Live Phone,,Registered Voters (Democrats),,78,17,5,
FOX,None,2015-11-16,2015-11-19,Live Phone,,Registered Voters (Republicans),,9,87,4,
FOX,None,2015-11-16,2015-11-19,Live Phone,,Registered Voters (Independents),,28,61,10,
Gallup,None,2015-11-16,2015-11-19,Live Phone,,Adults,1500,45,51,,3
Rasmussen,None,2015-11-16,2015-11-18,Automated Phone/Internet,,Likely Voters,1500,44,54,,3
PPP (D),Democrat,2015-11-16,2015-11-17,Automated Phone/Internet,,Likely Voters,1360,43,52,5,2.7
PPP (D),Democrat,2015-11-16,2015-11-17,Automated Phone/Internet,,Likely Voters (Democrats),,77,17,6,
PPP (D),Democrat,2015-11-16,2015-11-17,Automated Phone/Internet,,Likely Voters (Republicans),,7,92,2,
PPP (D),Democrat,2015-11-16,2015-11-17,Automated Phone/Internet,,Likely Voters (Independents),,37,56,6,
ARG,None,2015-11-17,2015-11-20,Live Phone,,Adults,1100,43,54,3,2.6
ARG,None,2015-11-17,2015-11-20,Live Phone,,Adults (Democrats),,84,13,3,
ARG,None,2015-11-17,2015-11-20,Live Phone,,Adults (Republicans),,5,91,4,
ARG,None,2015-11-17,2015-11-20,Live Phone,,Adults (Independents),,35,63,2,
Gallup,None,2015-11-17,2015-11-20,Live Phone,,Adults,1500,44,53,,3
Rasmussen,None,2015-11-17,2015-11-19,Automated Phone/Internet,,Likely Voters,1500,43,55,,3
Rasmussen,None,2015-11-18,2015-11-22,Automated Phone/Internet,,Likely Voters,1500,43,56,,3
YouGov/Economist,None,2015-11-19,2015-11-23,Internet,,Adults,2000,45,50,5,3.1
YouGov/Economist,None,2015-11-19,2015-11-23,Internet,,Adults (Democrats),760,78,20,2,
YouGov/Economist,None,2015-11-19,2015-11-23,Internet,,Adults (Republicans),475,6,93,1,
YouGov/Economist,None,2015-11-19,2015-11-23,Internet,,Adults (Independents),765,39,53,9,
Rasmussen,None,2015-11-19,2015-11-23,Automated Phone/Internet,,Likely Voters,1500,44,55,,3
CBS,None,2015-11-19,2015-11-22,Live Phone,,Adults,1205,42,47,11,3
CBS,None,2015-11-19,2015-11-22,Live Phone,,Adults (Democrats),,71,19,10,
CBS,None,2015-11-19,2015-11-22,Live Phone,,Adults (Republicans),,14,82,4,
CBS,None,2015-11-19,2015-11-22,Live Phone,,Adults (Independents),,37,47,16,
Gallup,None,2015-11-19,2015-11-21,Live Phone,,Adults,1500,45,52,,3
Gallup,None,2015-11-20,2015-11-22,Live Phone,,Adults,1500,43,52,,3
Ipsos/Reuters,None,2015-11-21,2015-11-25,Internet,,Adults,964,42,53,6,3.6
Ipsos/Reuters,None,2015-11-21,2015-11-25,Internet,,Adults (Democrats),362,77,19,4,5.9
Ipsos/Reuters,None,2015-11-21,2015-11-25,Internet,,Adults (Republicans),352,13,87,1,6
Ipsos/Reuters,None,2015-11-21,2015-11-25,Internet,,Adults (Independents),129,26,69,6,9.8
Gallup,None,2015-11-21,2015-11-23,Live Phone,,Adults,1500,44,52,,3
Gallup,None,2015-11-22,2015-11-24,Live Phone,,Adults,1500,44,51,,3
Rasmussen,None,2015-11-22,2015-11-24,Automated Phone/Internet,,Likely Voters,1500,47,52,,3
Quinnipiac,None,2015-11-23,2015-11-30,Live Phone,,Registered Voters,1453,44,51,4,2.6
Quinnipiac,None,2015-11-23,2015-11-30,Live Phone,,Registered Voters (Democrats),,83,12,5,
Quinnipiac,None,2015-11-23,2015-11-30,Live Phone,,Registered Voters (Republicans),,9,89,2,
Quinnipiac,None,2015-11-23,2015-11-30,Live Phone,,Registered Voters (Independents),,41,54,5,
Rasmussen,None,2015-11-23,2015-11-29,Automated Phone/Internet,,Likely Voters,1500,50,49,,3
Gallup,None,2015-11-23,2015-11-25,Live Phone,,Adults,1500,44,51,,3
Gravis Marketing/OANN,Republican,2015-11-23,2015-11-23,Automated Phone,,Registered Voters,1051,42,52,6,3
Rasmussen,None,2015-11-24,2015-11-30,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Gallup,None,2015-11-24,2015-11-27,Live Phone,,Adults,1500,46,49,,3
Gallup,None,2015-11-25,2015-11-28,Live Phone,,Adults,1500,46,48,,3
CNN,None,2015-11-27,2015-12-01,Live Phone,,Adults,1020,45,53,3,3
CNN,None,2015-11-27,2015-12-01,Live Phone,,Adults (Democrats),,83,16,1,
CNN,None,2015-11-27,2015-12-01,Live Phone,,Adults (Republicans),,9,91,0,
CNN,None,2015-11-27,2015-12-01,Live Phone,,Adults (Independents),,39,56,5,
Gallup,None,2015-11-27,2015-11-29,Live Phone,,Adults,1500,47,47,,3
Ipsos/Reuters,None,2015-11-28,2015-12-02,Internet,,Adults,1072,44,50,6,3.4
Ipsos/Reuters,None,2015-11-28,2015-12-02,Internet,,Adults (Democrats),430,78,19,3,5.4
Ipsos/Reuters,None,2015-11-28,2015-12-02,Internet,,Adults (Republicans),385,14,83,2,5.7
Ipsos/Reuters,None,2015-11-28,2015-12-02,Internet,,Adults (Independents),145,24,71,5,9.3
Gallup,None,2015-11-28,2015-11-30,Live Phone,,Adults,1500,46,50,,3
Saint Leo University,None,2015-11-29,2015-12-03,Internet,,Adults,1007,48,48,4,3
Gallup,None,2015-11-29,2015-12-01,Live Phone,,Adults,1500,46,50,,3
Rasmussen,None,2015-11-29,2015-12-01,Automated Phone/Internet,,Likely Voters,1500,48,51,,3
IBD/TIPP,None,2015-11-30,2015-12-04,Live Phone,,Adults,901,46,46,8,3.3
IBD/TIPP,None,2015-11-30,2015-12-04,Live Phone,,Adults (Democrats),306,87,9,4,
IBD/TIPP,None,2015-11-30,2015-12-04,Live Phone,,Adults (Republicans),261,10,86,4,
IBD/TIPP,None,2015-11-30,2015-12-04,Live Phone,,Adults (Independents),306,37,51,12,
Gallup,None,2015-11-30,2015-12-02,Live Phone,,Adults,1500,47,50,,3
Rasmussen,None,2015-11-30,2015-12-02,Automated Phone/Internet,,Likely Voters,1500,47,52,,3
Gallup,None,2015-12-01,2015-12-03,Live Phone,,Adults,1500,47,48,,3
Rasmussen,None,2015-12-01,2015-12-03,Automated Phone/Internet,,Likely Voters,1500,45,54,,3
Suffolk/USA Today,None,2015-12-02,2015-12-06,Live Phone,,Likely Voters,1000,44,50,6,3
Suffolk/USA Today,None,2015-12-02,2015-12-06,Live Phone,,Likely Voters (Democrats),342,85,11,5,5.1
Suffolk/USA Today,None,2015-12-02,2015-12-06,Live Phone,,Likely Voters (Republicans),307,6,87,7,5.2
Suffolk/USA Today,None,2015-12-02,2015-12-06,Live Phone,,Likely Voters (Independents),337,39,54,8,
Rasmussen,None,2015-12-02,2015-12-06,Automated Phone/Internet,,Likely Voters,1500,45,54,,3
Gallup,None,2015-12-02,2015-12-04,Live Phone,,Adults,1500,48,47,,3
Morning Consult,None,2015-12-03,2015-12-07,Internet,,Registered Voters,2047,38,59,3,2
Morning Consult,None,2015-12-03,2015-12-07,Internet,,Registered Voters (Democrats),682,70,25,4,
Morning Consult,None,2015-12-03,2015-12-07,Internet,,Registered Voters (Republicans),711,11,89,1,
Morning Consult,None,2015-12-03,2015-12-07,Internet,,Registered Voters (Independents),654,34,61,5,
Rasmussen,None,2015-12-03,2015-12-07,Automated Phone/Internet,,Likely Voters,1500,43,55,,3
Gallup,None,2015-12-03,2015-12-05,Live Phone,,Adults,1500,47,48,,3
YouGov/Economist,None,2015-12-04,2015-12-09,Internet,,Adults,2000,42,53,5,3
CBS/Times,None,2015-12-04,2015-12-08,Live Phone,,Adults,1275,44,48,8,
CBS/Times,None,2015-12-04,2015-12-08,Live Phone,,Adults (Democrats),,81,15,5,
CBS/Times,None,2015-12-04,2015-12-08,Live Phone,,Adults (Republicans),,7,91,2,
CBS/Times,None,2015-12-04,2015-12-08,Live Phone,,Adults (Independents),,40,46,14,
Gallup,None,2015-12-04,2015-12-06,Live Phone,,Adults,1500,49,48,,3
Ipsos/Reuters,None,2015-12-05,2015-12-09,Internet,,Adults,1416,41,53,6,3
Ipsos/Reuters,None,2015-12-05,2015-12-09,Internet,,Adults (Democrats),573,69,27,4,4.7
Ipsos/Reuters,None,2015-12-05,2015-12-09,Internet,,Adults (Republicans),494,10,89,1,5
Ipsos/Reuters,None,2015-12-05,2015-12-09,Internet,,Adults (Independents),205,33,61,6,7.8
Gallup,None,2015-12-05,2015-12-07,Live Phone,,Adults,1500,47,49,,3
NBC/WSJ,None,2015-12-06,2015-12-09,Live Phone,,Adults,1000,43,51,6,3.1
Gallup,None,2015-12-06,2015-12-08,Live Phone,,Adults,1500,47,49,,3
Rasmussen,None,2015-12-06,2015-12-08,Automated Phone/Internet,,Likely Voters,1500,45,54,,3
Gallup,None,2015-12-07,2015-12-09,Live Phone,,Adults,1500,45,50,,3
Rasmussen,None,2015-12-07,2015-12-09,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Gravis Marketing/OANN,Republican,2015-12-07,2015-12-08,Automated Phone,,Registered Voters,1995,39,53,8,2.2
Pew,None,2015-12-08,2015-12-13,Live Phone,,Adults,1500,46,49,4,
Gallup,None,2015-12-08,2015-12-10,Live Phone,,Adults,1500,44,51,,3
Rasmussen,None,2015-12-08,2015-12-10,Automated Phone/Internet,,Likely Voters,1500,47,52,,3
Rasmussen,None,2015-12-09,2015-12-13,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Gallup,None,2015-12-09,2015-12-11,Live Phone,,Adults,1500,44,51,,3
Rasmussen,None,2015-12-10,2015-12-14,Automated Phone/Internet,,Likely Voters,1500,46,52,,3
Monmouth University,None,2015-12-10,2015-12-13,Live Phone,,Adults,1006,40,51,8,3.1
Monmouth University,None,2015-12-10,2015-12-13,Live Phone,,Adults (Democrats),324,79,16,5,5.5
Monmouth University,None,2015-12-10,2015-12-13,Live Phone,,Adults (Republicans),277,10,86,3,5.9
Monmouth University,None,2015-12-10,2015-12-13,Live Phone,,Adults (Independents),375,32,55,13,5.1
ABC/Post,None,2015-12-10,2015-12-13,Live Phone,,Adults,1002,45,51,3,3.5
Gallup,None,2015-12-10,2015-12-12,Live Phone,,Adults,1500,45,50,,3
Morning Consult,None,2015-12-11,2015-12-15,Internet,,Registered Voters,4038,42,54,3,2
Morning Consult,None,2015-12-11,2015-12-15,Internet,,Registered Voters (Democrats),1472,75,23,2,
Morning Consult,None,2015-12-11,2015-12-15,Internet,,Registered Voters (Republicans),1265,11,87,1,
Morning Consult,None,2015-12-11,2015-12-15,Internet,,Registered Voters (Independents),1300,35,59,6,
Gallup,None,2015-12-11,2015-12-13,Live Phone,,Adults,1500,46,50,,3
Ipsos/Reuters,None,2015-12-12,2015-12-16,Internet,,Adults,1978,42,53,5,2.5
Ipsos/Reuters,None,2015-12-12,2015-12-16,Internet,,Adults (Democrats),765,75,24,1,4
Ipsos/Reuters,None,2015-12-12,2015-12-16,Internet,,Adults (Republicans),730,9,90,1,4.1
Ipsos/Reuters,None,2015-12-12,2015-12-16,Internet,,Adults (Independents),272,26,70,4,6.8
Gallup,None,2015-12-12,2015-12-14,Live Phone,,Adults,1500,46,50,,3
Gallup,None,2015-12-13,2015-12-15,Live Phone,,Adults,1500,46,50,,3
Rasmussen,None,2015-12-13,2015-12-15,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Gallup,None,2015-12-14,2015-12-16,Live Phone,,Adults,1500,45,51,,3
Rasmussen,None,2015-12-14,2015-12-16,Automated Phone/Internet,,Likely Voters,1500,46,52,,3
Gallup,None,2015-12-15,2015-12-17,Live Phone,,Adults,1500,43,53,,3
Rasmussen,None,2015-12-15,2015-12-17,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Quinnipiac,None,2015-12-16,2015-12-20,Live Phone,,Registered Voters,1140,44,52,4,2.9
Quinnipiac,None,2015-12-16,2015-12-20,Live Phone,,Registered Voters (Democrats),,88,11,2,
Quinnipiac,None,2015-12-16,2015-12-20,Live Phone,,Registered Voters (Republicans),,7,92,1,
Quinnipiac,None,2015-12-16,2015-12-20,Live Phone,,Registered Voters (Independents),,37,55,8,
Rasmussen,None,2015-12-16,2015-12-20,Automated Phone/Internet,,Likely Voters,1500,46,52,,3
Gallup,None,2015-12-16,2015-12-18,Live Phone,,Adults,1500,42,53,,3
PPP (D),Democrat,2015-12-16,2015-12-17,Automated Phone/Internet,,Likely Voters,1267,44,48,8,
PPP (D),Democrat,2015-12-16,2015-12-17,Automated Phone/Internet,,Likely Voters (Democrats),,75,17,7,
PPP (D),Democrat,2015-12-16,2015-12-17,Automated Phone/Internet,,Likely Voters (Republicans),,12,83,4,
PPP (D),Democrat,2015-12-16,2015-12-17,Automated Phone/Internet,,Likely Voters (Independents),,34,55,11,
FOX,None,2015-12-16,2015-12-17,Live Phone,,Registered Voters,1013,43,51,6,3
FOX,None,2015-12-16,2015-12-17,Live Phone,,Registered Voters (Democrats),,77,17,7,
FOX,None,2015-12-16,2015-12-17,Live Phone,,Registered Voters (Republicans),,10,87,4,
FOX,None,2015-12-16,2015-12-17,Live Phone,,Registered Voters (Independents),,34,54,12,
CNN,None,2015-12-17,2015-12-21,Live Phone,,Adults,1018,47,52,1,3
CNN,None,2015-12-17,2015-12-21,Live Phone,,Adults (Democrats),,82,17,1,
CNN,None,2015-12-17,2015-12-21,Live Phone,,Adults (Republicans),,10,89,1,
CNN,None,2015-12-17,2015-12-21,Live Phone,,Adults (Independents),,44,54,2,
Rasmussen,None,2015-12-17,2015-12-21,Automated Phone/Internet,,Likely Voters,1500,47,52,,3
ARG,None,2015-12-17,2015-12-20,Live Phone,,Adults,1100,41,55,4,2.6
ARG,None,2015-12-17,2015-12-20,Live Phone,,Adults (Democrats),,81,15,4,
ARG,None,2015-12-17,2015-12-20,Live Phone,,Adults (Republicans),,2,94,4,
ARG,None,2015-12-17,2015-12-20,Live Phone,,Adults (Independents),,32,63,5,
Emerson College Polling Society,None,2015-12-17,2015-12-20,Automated Phone,,Registered Voters,754,42,55,4,3.5
Gallup,None,2015-12-17,2015-12-19,Live Phone,,Adults,1500,44,51,,3
YouGov/Economist,None,2015-12-18,2015-12-21,Internet,,Adults,2000,43,52,4,3.1
YouGov/Economist,None,2015-12-18,2015-12-21,Internet,,Adults (Democrats),758,80,17,4,
YouGov/Economist,None,2015-12-18,2015-12-21,Internet,,Adults (Republicans),472,7,92,1,
YouGov/Economist,None,2015-12-18,2015-12-21,Internet,,Adults (Independents),770,37,57,6,
Gallup,None,2015-12-18,2015-12-20,Live Phone,,Adults,1500,45,50,,3
Ipsos/Reuters,None,2015-12-19,2015-12-23,Internet,,Adults,1593,42,52,7,2.8
Ipsos/Reuters,None,2015-12-19,2015-12-23,Internet,,Adults (Democrats),603,73,24,3,4.6
Ipsos/Reuters,None,2015-12-19,2015-12-23,Internet,,Adults (Republicans),626,12,87,1,4.5
Ipsos/Reuters,None,2015-12-19,2015-12-23,Internet,,Adults (Independents),211,37,58,5,7.7
Gallup,None,2015-12-19,2015-12-21,Live Phone,,Adults,1500,46,50,,3
Gallup,None,2015-12-20,2015-12-22,Live Phone,,Adults,1500,46,50,,3
Rasmussen,None,2015-12-20,2015-12-22,Automated Phone/Internet,,Likely Voters,1500,47,53,,3
Rasmussen,None,2015-12-21,2015-12-23,Automated Phone/Internet,,Likely Voters,1500,46,52,,3
Gallup,None,2015-12-21,2015-12-23,Live Phone,,Adults,1500,46,50,,3
Gallup,None,2015-12-22,2015-12-27,Live Phone,,Adults,1500,48,48,,3
Rasmussen,None,2015-12-22,2015-12-27,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Gallup,None,2015-12-23,2015-12-28,Live Phone,,Adults,1500,47,49,,3
Rasmussen,None,2015-12-23,2015-12-28,Automated Phone/Internet,,Likely Voters,1500,45,53,,3
Ipsos/Reuters,None,2015-12-26,2015-12-30,Internet,,Adults,2005,41,51,7,2.5
Ipsos/Reuters,None,2015-12-26,2015-12-30,Internet,,Adults (Democrats),825,72,23,4,3.9
Ipsos/Reuters,None,2015-12-26,2015-12-30,Internet,,Adults (Republicans),722,11,89,0,4.2
Ipsos/Reuters,None,2015-12-26,2015-12-30,Internet,,Adults (Independents),278,27,61,12,6.7
Gallup,None,2015-12-27,2015-12-29,Live Phone,,Adults,1500,46,50,,3
Rasmussen,None,2015-12-27,2015-12-29,Automated Phone/Internet,,Likely Voters,1500,45,54,,3
NBC/SurveyMonkey,None,2015-12-28,2016-01-03,Internet,,Adults,3700,48,52,1,1.9
Gallup,None,2015-12-28,2015-12-30,Live Phone,,Adults,1500,44,52,,3
Rasmussen,None,2015-12-28,2015-12-30,Automated Phone/Internet,,Likely Voters,1500,46,52,,3
Rasmussen,None,2015-12-29,2016-01-03,Automated Phone/Internet,,Likely Voters,1500,48,51,,3
Gallup,None,2015-12-29,2016-01-02,Live Phone,,Adults,1500,45,51,,3
Rasmussen,None,2015-12-30,2016-01-04,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Gallup,None,2015-12-30,2016-01-03,Live Phone,,Adults,1500,45,51,,3
YouGov/Economist,None,2015-12-31,2016-01-06,Internet,,Adults,2000,42,52,6,3.1
YouGov/Economist,None,2015-12-31,2016-01-06,Internet,,Adults (Democrats),684,79,18,2,
YouGov/Economist,None,2015-12-31,2016-01-06,Internet,,Adults (Republicans),480,9,89,2,
YouGov/Economist,None,2015-12-31,2016-01-06,Internet,,Adults (Independents),801,34,55,11,
Allstate/National Journal,None,2016-01-02,2016-01-06,Live Phone,,Adults,1000,47,47,6,3.1
Ipsos/Reuters,None,2016-01-02,2016-01-06,Internet,,Adults,1754,44,51,5,2.7
Ipsos/Reuters,None,2016-01-02,2016-01-06,Internet,,Adults (Democrats),709,76,23,2,4.2
Ipsos/Reuters,None,2016-01-02,2016-01-06,Internet,,Adults (Republicans),634,7,92,1,4.4
Ipsos/Reuters,None,2016-01-02,2016-01-06,Internet,,Adults (Independents),241,40,55,5,7.2
Gallup,None,2016-01-02,2016-01-04,Live Phone,,Adults,1500,46,50,,3
Gallup,None,2016-01-03,2016-01-05,Live Phone,,Adults,1500,46,50,,3
Rasmussen,None,2016-01-03,2016-01-05,Automated Phone/Internet,,Likely Voters,1500,48,52,,3
NBC/SurveyMonkey,None,2016-01-04,2016-01-10,Internet,,Adults,9746,45,56,1,1.4
IBD/TIPP,None,2016-01-04,2016-01-08,Live Phone,,Adults,967,43,48,10,3.2
FOX,None,2016-01-04,2016-01-07,Live Phone,,Registered Voters,1006,42,53,5,3
Gallup,None,2016-01-04,2016-01-06,Live Phone,,Adults,1500,47,48,,3
Rasmussen,None,2016-01-04,2016-01-06,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Gallup,None,2016-01-05,2016-01-07,Live Phone,,Adults,1500,45,50,,3
Rasmussen,None,2016-01-05,2016-01-07,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Rasmussen,None,2016-01-06,2016-01-10,Automated Phone/Internet,,Likely Voters,1500,46,53,,3
Gallup,None,2016-01-06,2016-01-08,Live Phone,,Adults,1500,46,49,,3
Pew,None,2016-01-07,2016-01-14,Live Phone,,Adults,2009,46,48,6,
Rasmussen,None,2016-01-07,2016-01-11,Automated Phone/Internet,,Likely Voters,1500,48,51,,3
CBS/Times,None,2016-01-07,2016-01-10,Live Phone,,Adults,1276,46,47,7,
CBS/Times,None,2016-01-07,2016-01-10,Live Phone,,Adults (Democrats),379,81,13,7,
CBS/Times,None,2016-01-07,2016-01-10,Live Phone,,Adults (Republicans),352,11,86,3,
CBS/Times,None,2016-01-07,2016-01-10,Live Phone,,Adults (Independents),545,43,46,10,
Gallup,None,2016-01-07,2016-01-09,Live Phone,,Adults,1500,47,49,,3
Morning Consult,None,2016-01-08,2016-01-10,Internet,,Registered Voters,2173,42,55,4,2
Morning Consult,None,2016-01-08,2016-01-10,Internet,,Registered Voters (Democrats),716,74,23,2,
Morning Consult,None,2016-01-08,2016-01-10,Internet,,Registered Voters (Republicans),770,13,85,2,
Morning Consult,None,2016-01-08,2016-01-10,Internet,,Registered Voters (Independents),688,34,59,7,
Gallup,None,2016-01-08,2016-01-10,Live Phone,,Adults,1500,47,49,,3
Ipsos/Reuters,None,2016-01-09,2016-01-13,Internet,,Adults,1602,48,48,4,2.8
Ipsos/Reuters,None,2016-01-09,2016-01-13,Internet,,Adults (Democrats),696,79,19,2,4.2
Ipsos/Reuters,None,2016-01-09,2016-01-13,Internet,,Adults (Republicans),575,17,82,1,4.7
Ipsos/Reuters,None,2016-01-09,2016-01-13,Internet,,Adults (Independents),180,35,59,6,8.3
Gallup,None,2016-01-09,2016-01-11,Live Phone,,Adults,1500,45,50,,3
Gallup,None,2016-01-10,2016-01-12,Live Phone,,Adults,1500,44,50,,3
Rasmussen,None,2016-01-10,2016-01-12,Automated Phone/Internet,,Likely Voters,1500,47,51,,3
Gravis Marketing/OANN,Republican,2016-01-10,2016-01-10,Automated Phone,,Registered Voters,2416,42,52,6,2
NBC/SurveyMonkey,None,2016-01-11,2016-01-17,Internet,,Adults,11579,48,52,1,1.2
Gallup,None,2016-01-11,2016-01-13,Live Phone,,Adults,1500,47,48,,3
Rasmussen,None,2016-01-11,2016-01-13,Automated Phone/Internet,,Likely Voters,1500,48,50,,3
Gallup,None,2016-01-12,2016-01-14,Live Phone,,Adults,1500,48,47,,3
Rasmussen,None,2016-01-12,2016-01-14,Automated Phone/Internet,,Likely Voters,1500,47,52,,3
Rasmussen,None,2016-01-13,2016-01-17,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Gallup,None,2016-01-13,2016-01-15,Live Phone,,Adults,1500,49,46,,3
Rasmussen,None,2016-01-14,2016-01-18,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Morning Consult,None,2016-01-14,2016-01-17,Internet,,Registered Voters,4060,41,56,3,2
Morning Consult,None,2016-01-14,2016-01-17,Internet,,Registered Voters (Democrats),1464,75,23,2,
Morning Consult,None,2016-01-14,2016-01-17,Internet,,Registered Voters (Republicans),1315,13,86,1,
Morning Consult,None,2016-01-14,2016-01-17,Internet,,Registered Voters (Independents),1281,32,63,5,
Gallup,None,2016-01-14,2016-01-16,Live Phone,,Adults,1500,49,47,,3
YouGov/Economist,None,2016-01-15,2016-01-19,Internet,,Adults,2000,43,52,5,2.9
YouGov/Economist,None,2016-01-15,2016-01-19,Internet,,Adults (Democrats),726,84,13,2,
YouGov/Economist,None,2016-01-15,2016-01-19,Internet,,Adults (Republicans),489,9,89,2,
YouGov/Economist,None,2016-01-15,2016-01-19,Internet,,Adults (Independents),785,35,55,10,
Monmouth University,None,2016-01-15,2016-01-18,Live Phone,,Adults,1003,46,46,8,3.1
Monmouth University,None,2016-01-15,2016-01-18,Live Phone,,Adults (Democrats),293,83,14,3,5.7
Monmouth University,None,2016-01-15,2016-01-18,Live Phone,,Adults (Republicans),308,14,82,4,5.6
Monmouth University,None,2016-01-15,2016-01-18,Live Phone,,Adults (Independents),378,39,45,16,5.1
Gallup,None,2016-01-15,2016-01-17,Live Phone,,Adults,1500,51,45,,3
Ipsos/Reuters,None,2016-01-16,2016-01-20,Internet,,Adults,1561,45,51,4,2.8
Ipsos/Reuters,None,2016-01-16,2016-01-20,Internet,,Adults (Democrats),629,80,18,2,4.5
Ipsos/Reuters,None,2016-01-16,2016-01-20,Internet,,Adults (Republicans),588,10,89,1,4.6
Ipsos/Reuters,None,2016-01-16,2016-01-20,Internet,,Adults (Independents),197,35,58,6,8
Gallup,None,2016-01-16,2016-01-18,Live Phone,,Adults,1500,49,46,,3
Gallup,None,2016-01-17,2016-01-19,Live Phone,,Adults,1500,48,48,,3
Rasmussen,None,2016-01-17,2016-01-19,Automated Phone/Internet,,Likely Voters,1500,50,49,,3
NBC/SurveyMonkey,None,2016-01-18,2016-01-24,Internet,,Adults,9690,50,50,,1.3
FOX,None,2016-01-18,2016-01-21,Live Phone,,Registered Voters,1009,45,48,7,3
FOX,None,2016-01-18,2016-01-21,Live Phone,,Registered Voters (Democrats),,82,14,5,
FOX,None,2016-01-18,2016-01-21,Live Phone,,Registered Voters (Republicans),,12,83,5,
FOX,None,2016-01-18,2016-01-21,Live Phone,,Likely Voters (Independents),,34,52,14,
Gallup,None,2016-01-18,2016-01-20,Live Phone,,Adults,1500,47,48,,3
Rasmussen,None,2016-01-18,2016-01-20,Automated Phone/Internet,,Likely Voters,1500,48,51,,3
Gallup,None,2016-01-19,2016-01-21,Live Phone,,Adults,1500,49,48,,3
Rasmussen,None,2016-01-19,2016-01-21,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Zogby (Internet),None,2016-01-19,2016-01-20,Internet,,Likely Voters,843,47,49,,3.4
Rasmussen,None,2016-01-20,2016-01-24,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Gallup,None,2016-01-20,2016-01-22,Live Phone,,Adults,1500,49,47,,3
Rasmussen,None,2016-01-21,2016-01-25,Automated Phone/Internet,,Likely Voters,1500,50,49,,3
CNN,None,2016-01-21,2016-01-24,Live Phone,,Adults,1002,47,49,4,3
CNN,None,2016-01-21,2016-01-24,Live Phone,,Adults (Democrats),,85,11,4,5.5
CNN,None,2016-01-21,2016-01-24,Live Phone,,Adults (Republicans),,6,93,1,6
CNN,None,2016-01-21,2016-01-24,Live Phone,,Adults (Independents),,45,49,6,5
ABC/Post,None,2016-01-21,2016-01-24,Live Phone,,Adults,1001,50,46,4,3.5
Morning Consult,None,2016-01-21,2016-01-24,Internet,,Registered Voters,4001,45,52,3,2
Morning Consult,None,2016-01-21,2016-01-24,Internet,,Registered Voters (Democrats),1527,79,19,2,2.5
Morning Consult,None,2016-01-21,2016-01-24,Internet,,Registered Voters (Republicans),1635,13,86,2,
Morning Consult,None,2016-01-21,2016-01-24,Internet,,Registered Voters (Independents),,34,58,7,
Gallup,None,2016-01-21,2016-01-23,Live Phone,,Adults,1500,49,47,,3
IBD/TIPP,None,2016-01-22,2016-01-27,Live Phone,,Adults,914,49,43,8,3.3
Gallup,None,2016-01-22,2016-01-24,Live Phone,,Adults,1500,48,46,,3
Gallup,None,2016-01-23,2016-01-25,Live Phone,,Adults,1500,49,47,,3
Rasmussen,None,2016-01-24,2016-01-27,Automated Phone/Internet,,Likely Voters,1500,50,49,,3
Gallup,None,2016-01-24,2016-01-26,Live Phone,,Adults,1500,48,48,,3
NBC/SurveyMonkey,None,2016-01-25,2016-01-31,Internet,,Adults,11143,47,52,1,1.3
Rasmussen,None,2016-01-25,2016-01-28,Automated Phone/Internet,,Likely Voters,1500,49,50,,3
Gallup,None,2016-01-25,2016-01-27,Live Phone,,Adults,1500,48,48,,3
Gallup,None,2016-01-26,2016-01-28,Live Phone,,Adults,1500,48,48,,3
Rasmussen,None,2016-01-27,2016-01-31,Automated Phone/Internet,,Likely Voters,1500,48,51,,3
YouGov/Economist,None,2016-01-27,2016-01-30,Internet,,Adults,2000,43,51,5,2.9
YouGov/Economist,None,2016-01-27,2016-01-30,Internet,,Adults (Democrats),737,78,21,1,
YouGov/Economist,None,2016-01-27,2016-01-30,Internet,,Adults (Republicans),485,13,87,1,
YouGov/Economist,None,2016-01-27,2016-01-30,Internet,,Adults (Independents),778,36,54,10,
Gallup,None,2016-01-27,2016-01-29,Live Phone,,Adults,1500,48,48,,3
Rasmussen,None,2016-01-28,2016-02-01,Automated Phone/Internet,,Likely Voters,1500,47,51,,3
Gallup,None,2016-01-28,2016-01-30,Live Phone,,Adults,1500,49,48,,3
Morning Consult,None,2016-01-29,2016-02-01,Internet,,Registered Voters,3739,49,48,3,2
